City,Locality,Budget,Eating Preference,Cleanliness Spook,Smoke/Drink,Saturday Twin,Guest/Host,Gender
Bangalore,Whitefield,30000-40000,Vegan,Messy but not unhygienic,Neither,House Party Scenes,I like hosting,Male
Mumbai,Bandra,40000+,Vegetarian,Organised,Smoke,House Party Scenes,I like hosting,Male
Gurgaon,DLF 3,15000-20000,Vegan,Organised,Both,House Party Scenes,I like being the guest,Male
Mumbai,Andheri W,15000-20000,Vegan,Chaotic,Both,Chill stay at home,I like being the guest,Male
Bangalore,Kormangla,30000-40000,Pescetarian,Organised,Drink,Clubbing/Going Out,I like hosting,Female
Bangalore,HSR Layout,30000-40000,Vegan,Messy but not unhygienic,Drink,Clubbing/Going Out,I like being the guest,Male
Noida,Noida Ext/Gtr Noida Wst,<15000,Veg + Eggs,Messy but not unhygienic,Neither,Clubbing/Going Out,I like hosting,Female
Delhi,Central Delhi,30000-40000,Veg + Eggs,Organised,Neither,Clubbing/Going Out,I like being the guest,Female
Gurgaon,Sector 50,25000-30000,Vegan,OCD,Neither,House Party Scenes,I like hosting,Female
Delhi,South Delhi,40000+,Vegetarian,Organised,Neither,Chill stay at home,I like hosting,Male
Delhi,North Delhi,20000-25000,Non Vegetarian,Let the dust rot,Smoke,Based on my vibe,I like hosting,Male
Delhi,East Delhi,<15000,Non Vegetarian,Organised,Neither,Chill stay at home,I like being the guest,Male
Mumbai,Marine/Colaba,40000+,Non Vegetarian,Messy but not unhygienic,Smoke,Chill stay at home,I like hosting,Female
Gurgaon,DLF 1,15000-20000,Vegan,Organised,Neither,Chill stay at home,I like hosting,Female
Mumbai,Vile Parle,25000-30000,Vegan,Messy but not unhygienic,Neither,Chill stay at home,I like being the guest,Female
Delhi,Central Delhi,20000-25000,Veg + Eggs,Messy but not unhygienic,Drink,Clubbing/Going Out,I like hosting,Female
Mumbai,Marine/Colaba,30000-40000,Non Vegetarian,Let the dust rot,Neither,Chill stay at home,I like hosting,Female
Delhi,East Delhi,30000-40000,Pescetarian,Organised,Smoke,Chill stay at home,I like being the guest,Female
Noida,Sector 76/77/78,<15000,Pescetarian,Messy but not unhygienic,Smoke,Chill stay at home,I like being the guest,Male
Bangalore,HSR Layout,30000-40000,Pescetarian,Organised,Drink,Clubbing/Going Out,I like hosting,Female
Gurgaon,DLF 5,<15000,Non Vegetarian,Messy but not unhygienic,Neither,Clubbing/Going Out,I like hosting,Male
Noida,Sector 50,15000-20000,Vegan,Organised,Drink,Clubbing/Going Out,I like hosting,Male
Gurgaon,Sector 50,15000-20000,Vegetarian,Organised,Both,Chill stay at home,I like being the guest,Male
Noida,Sector 137,25000-30000,Veg + Eggs,Chaotic,Drink,House Party Scenes,I like hosting,Male
Noida,Sector 18,30000-40000,Veg + Eggs,Messy but not unhygienic,Drink,House Party Scenes,I like hosting,Male
Bangalore,Haralur,20000-25000,Veg + Eggs,Let the dust rot,Smoke,House Party Scenes,I like being the guest,Male
Mumbai,Borivali/Kandivali/Malad,<15000,Vegan,Chaotic,Drink,Clubbing/Going Out,I like being the guest,Female
Delhi,East Delhi,30000-40000,Vegetarian,Organised,Drink,House Party Scenes,I like hosting,Female
Bangalore,HSR Layout,20000-25000,Non Vegetarian,OCD,Neither,Chill stay at home,I like hosting,Male
Delhi,North Delhi,40000+,Vegetarian,Organised,Smoke,Clubbing/Going Out,I like being the guest,Male
Mumbai,Lower Parel/Worli/Parel,30000-40000,Non Vegetarian,Chaotic,Neither,Clubbing/Going Out,I like hosting,Male
Delhi,Central Delhi,25000-30000,Vegetarian,Organised,Neither,House Party Scenes,I like being the guest,Female
Delhi,East Delhi,20000-25000,Veg + Eggs,OCD,Neither,Chill stay at home,I like hosting,Male
Gurgaon,Udyog Vihar,30000-40000,Veg + Eggs,Messy but not unhygienic,Neither,House Party Scenes,I like hosting,Male
Mumbai,Goregon,15000-20000,Veg + Eggs,Organised,Neither,Based on my vibe,I like hosting,Male
Mumbai,Andheri E,15000-20000,Vegan,Organised,Neither,Chill stay at home,I like hosting,Male
Bangalore,Electronic city,20000-25000,Veg + Eggs,Organised,Drink,House Party Scenes,I like being the guest,Female
Bangalore,Haralur,25000-30000,Vegan,Organised,Drink,Clubbing/Going Out,I like hosting,Male
Bangalore,Haralur,20000-25000,Pescetarian,Messy but not unhygienic,Both,House Party Scenes,I like being the guest,Female
Delhi,North Delhi,<15000,Pescetarian,Organised,Neither,House Party Scenes,I like hosting,Female
Bangalore,Haralur,<15000,Non Vegetarian,Let the dust rot,Drink,Chill stay at home,I like hosting,Male
Mumbai,Bandra,30000-40000,Veg + Eggs,Organised,Both,Based on my vibe,I like being the guest,Male
Gurgaon,DLF 2,25000-30000,Non Vegetarian,Chaotic,Drink,House Party Scenes,I like hosting,Male
Noida,Sector 18,15000-20000,Pescetarian,OCD,Neither,Based on my vibe,I like hosting,Female
Mumbai,Bandra,30000-40000,Veg + Eggs,Organised,Neither,Clubbing/Going Out,I like being the guest,Female
Delhi,South Delhi,30000-40000,Veg + Eggs,OCD,Neither,Clubbing/Going Out,I like being the guest,Male
Noida,Noida Ext/Gtr Noida Wst,25000-30000,Vegan,Let the dust rot,Neither,House Party Scenes,I like hosting,Male
Gurgaon,Udyog Vihar,15000-20000,Non Vegetarian,Organised,Smoke,House Party Scenes,I like being the guest,Female
Noida,Sector 137,20000-25000,Veg + Eggs,Organised,Drink,Chill stay at home,I like being the guest,Female
Gurgaon,DLF 5,40000+,Pescetarian,Organised,Neither,House Party Scenes,I like hosting,Female
Noida,Sector 50,30000-40000,Non Vegetarian,Let the dust rot,Drink,Based on my vibe,I like hosting,Female
Delhi,North Delhi,20000-25000,Vegetarian,Messy but not unhygienic,Drink,Chill stay at home,I like hosting,Male
Noida,Sector 76/77/78,<15000,Non Vegetarian,Let the dust rot,Neither,Chill stay at home,I like hosting,Male
Noida,Noida Ext/Gtr Noida Wst,40000+,Pescetarian,Chaotic,Drink,Chill stay at home,I like being the guest,Male
Gurgaon,DLF 5,20000-25000,Vegetarian,Chaotic,Drink,House Party Scenes,I like hosting,Male
Noida,Sector 137,20000-25000,Veg + Eggs,Organised,Both,Chill stay at home,I like hosting,Female
Noida,Sector 76/77/78,30000-40000,Vegetarian,Messy but not unhygienic,Drink,House Party Scenes,I like being the guest,Male
Bangalore,Haralur,15000-20000,Veg + Eggs,Organised,Drink,Chill stay at home,I like hosting,Male
Noida,Noida Ext/Gtr Noida Wst,15000-20000,Veg + Eggs,Messy but not unhygienic,Smoke,House Party Scenes,I like being the guest,Male
Gurgaon,DLF 5,30000-40000,Non Vegetarian,Organised,Neither,Clubbing/Going Out,I like being the guest,Female
Delhi,South Delhi,30000-40000,Pescetarian,Let the dust rot,Drink,House Party Scenes,I like being the guest,Male
Delhi,East Delhi,20000-25000,Non Vegetarian,Organised,Both,Clubbing/Going Out,I like being the guest,Female
Delhi,East Delhi,20000-25000,Vegan,Organised,Both,Chill stay at home,I like hosting,Male
Bangalore,HSR Layout,<15000,Vegan,Organised,Neither,House Party Scenes,I like being the guest,Female
Delhi,Central Delhi,20000-25000,Vegan,Organised,Drink,Chill stay at home,I like hosting,Female
Mumbai,Goregon,15000-20000,Pescetarian,Messy but not unhygienic,Smoke,Clubbing/Going Out,I like hosting,Female
Mumbai,Andheri W,15000-20000,Vegan,Messy but not unhygienic,Neither,Chill stay at home,I like hosting,Male
Bangalore,HSR Layout,<15000,Veg + Eggs,Organised,Neither,House Party Scenes,I like hosting,Female
Noida,Noida Ext/Gtr Noida Wst,20000-25000,Vegetarian,Messy but not unhygienic,Neither,Based on my vibe,I like being the guest,Female
Bangalore,Kormangla,15000-20000,Pescetarian,Organised,Drink,Chill stay at home,I like being the guest,Male
Gurgaon,Sector 43,15000-20000,Pescetarian,Organised,Drink,House Party Scenes,I like hosting,Male
Bangalore,Marathalli,20000-25000,Non Vegetarian,OCD,Smoke,Chill stay at home,I like hosting,Female
Noida,Sector 18,25000-30000,Veg + Eggs,Messy but not unhygienic,Drink,Chill stay at home,I like hosting,Male
Bangalore,Haralur,15000-20000,Veg + Eggs,Organised,Neither,Clubbing/Going Out,I like being the guest,Male
Bangalore,Marathalli,30000-40000,Veg + Eggs,Chaotic,Both,Clubbing/Going Out,I like hosting,Male
Delhi,North Delhi,20000-25000,Vegan,Chaotic,Drink,Chill stay at home,I like being the guest,Male
Gurgaon,Sector 43,15000-20000,Veg + Eggs,Let the dust rot,Neither,Based on my vibe,I like being the guest,Female
Delhi,Central Delhi,30000-40000,Vegan,Messy but not unhygienic,Smoke,Chill stay at home,I like hosting,Female
Mumbai,Bandra,<15000,Veg + Eggs,Chaotic,Drink,House Party Scenes,I like hosting,Female
Gurgaon,DLF4,20000-25000,Veg + Eggs,Organised,Neither,Based on my vibe,I like being the guest,Male
Bangalore,Kormangla,30000-40000,Vegetarian,Organised,Neither,Based on my vibe,I like being the guest,Male
Bangalore,Electronic city,20000-25000,Vegan,Chaotic,Neither,Based on my vibe,I like hosting,Male
Mumbai,Marine/Colaba,<15000,Vegan,Let the dust rot,Neither,Based on my vibe,I like being the guest,Female
Delhi,East Delhi,<15000,Vegan,Messy but not unhygienic,Neither,Chill stay at home,I like being the guest,Female
Gurgaon,DLF4,40000+,Non Vegetarian,Organised,Neither,House Party Scenes,I like hosting,Male
Mumbai,Vile Parle,25000-30000,Vegan,Messy but not unhygienic,Neither,Based on my vibe,I like hosting,Male
Gurgaon,Sushant Lok,15000-20000,Pescetarian,Organised,Neither,Based on my vibe,I like hosting,Female
Bangalore,Whitefield,25000-30000,Vegan,Organised,Drink,Chill stay at home,I like hosting,Male
Mumbai,Borivali/Kandivali/Malad,30000-40000,Vegetarian,Messy but not unhygienic,Neither,House Party Scenes,I like hosting,Male
Noida,Sector 50,30000-40000,Veg + Eggs,Messy but not unhygienic,Neither,Chill stay at home,I like hosting,Male
Delhi,East Delhi,<15000,Pescetarian,Let the dust rot,Both,Clubbing/Going Out,I like hosting,Female
Delhi,South Delhi,40000+,Pescetarian,Messy but not unhygienic,Both,Chill stay at home,I like hosting,Male
